produc_id,product_name,cat_id,netto,brutto,accessories
AIRCOR58020,TRIO 2500,3,12998.0,15987.54,
E10-20001,ER 200-2.3BF,7,228.0,280.44,"ETY-0-15-AT,ETY-0-15-AT,H80-00033,H80-00033,H50-01500,H50-01500,H90-01502,H90-01502,H70-01500,H70-01500,P21-20001,P21-20001,I20-20000,I20-20000,I10-20000,I10-20000,I41-20005,I41-20005,V00-20000,V00-20000"
produc_id,product_name,cat_id,netto,brutto,accessories
AIRSEC99040,AFS-5-INS,4,201.0,247.23,
AIRCON12005,CLEVER CONTROL,6,451.0,554.73,
ETY-0-15-AT,ETY 15,8,40.0,49.2,
ETY-0-25-AT,ETY 25,8,46.0,56.58,
TERCCO33180,CH-5HW-NE,6,207.0,254.61,
TERCCO33182,CH-2HO-NE,6,207.0,254.61,
AIRSEC99041,AFS-1-INS,4,205.0,252.15,
STL-0-50-AT,STL 5,9,72.0,88.56,
VERCCO33005,CW-5AW-IR,6,75.0,92.25,
VERCCO33010,CE-5AW-IR,6,80.0,98.4,
VERCCO33015,CA-2AO-IR,6,66.0,81.18,
VERCCO33017,CW-2EV-IR,6,69.0,84.87,
VERCCO33020,CE-2AO-IR,6,71.0,87.33,
VERCCO33025,CA-5AW-IR,6,73.0,89.79,
VERCCO33605,IN-NE II,6,73.0,89.79,
E800-0005T3,E800-0005T3,11,228.0,280.44,
E800-0007T3,E800-0007T3,11,238.0,292.74,
E800-0015T3,E800-0015T3,11,252.0,309.96,
E800-0022T3,E800-0022T3,11,279.0,343.17,
E800-0037T3,E800-0037T3,11,,,
E800-0055T3,E800-0055T3,11,536.0,659.28,
H55-00073,MTC,12,,,
H55-00049,POT 1,14,34.0,41.82,
H55-00055,POT 2 (AP) - wersja natynkowa,14,149.0,183.27,
H55-00068,POT 3,14,47.0,57.81,
W11-30000,S5 (230V),16,44.0,54.12,
W11-30001,S5 (400V),16,44.0,54.12,
H50-01500,"RE 1,5",18,72.0,88.56,
H50-03200,"RE 3,2",18,110.0,135.3,
H50-05000,"RE 5,0",18,131.0,161.13,
H50-07501,"RE 7,5",18,189.0,232.47,
H50-06000,"RE 6,0",18,224.0,275.52,
H50-10001,RE 10,18,278.0,341.94,
H90-01502,"REU 1,5",19,279.0,343.17,
H90-03000,"REU 3,0",19,306.0,376.38,
H90-05002,"REU 5,0",19,338.0,415.74,
H90-07504,"REU 7,5",19,360.0,442.8,
H00-01208,"RKD 1,2",20,272.0,334.56,
H00-03008,"RKD 3,0",20,377.0,463.71,
H00-05008,"RKD 5,0",20,410.0,504.3,
H00-07008,"RKD 7,0",20,605.0,744.15,
H00-10008,RKD 10,20,,,
H15-01208,"RKDU 1,2",21,483.0,594.09,
H15-03008,"RKDU 3,0",21,558.0,686.34,
H15-07008,"RKDU 7,0",21,734.0,902.82,
H00-01201,"RTD 1,2",22,201.0,247.23,
H00-01250,"RTD 1,2 G",22,300.0,369.0,
H00-02501,"RTD 2,5",22,256.0,314.88,
H00-02550,"RTD 2,5 G",22,,,
H00-03002,"RTD 3,0",22,335.0,412.05,
H00-03050,"RTD 3,0 G",22,,,
H00-03801,"RTD 3,8",22,352.0,432.96,
H00-03850,"RTD 3,8 G",22,,,
H00-05000,"RTD 5,0",22,417.0,512.91,
H00-05050,"RTD 5,0 G",22,,,
H00-07003,"RTD 7,0",22,482.0,592.86,
H00-10000,RTD 10,22,657.0,808.11,
H00-14000,RTD 14,22,1043.0,1282.89,
H00-19000,RTD 19,22,1215.0,1494.45,
H00-24000,RTD 24,22,1628.0,2002.44,
H00-01207,"RTDU 1,2",23,437.0,537.51,
H00-03007,"RTDU 3,0",23,525.0,645.75,
H00-05007,"RTDU 5,0",23,559.0,687.57,
H00-07007,"RTDU 7,0",23,693.0,852.39,
H00-10007,RTDU 10,23,819.0,1007.37,
H10-01500,"RTE 1,5",24,107.0,131.61,
H10-01550,"RTE 1,5 G",24,,,
H10-03200,"RTE 3,2",24,143.0,175.89,
H10-03250,"RTE 3,2 G",24,209.0,257.07,
H10-05000,"RTE 5,0",24,167.0,205.41,
H10-07501,"RTE 7,5",24,211.0,259.53,
H10-07550,"RTE 7,5 G",24,,,
H10-10001,RTE 10,24,307.0,377.61,
H10-12000,RTE 12,24,373.0,458.79,
H10-15002,RTE 15,24,611.0,751.53,
H10-20000,RTE 20,24,,,
H10-01510,"RTEU 1,5",25,381.0,468.63,
H10-03210,"RTEU 3,2",25,404.0,496.92,
